Date,Close
2022-01-31 00:00:00-05:00,409.1644592285156
2022-02-28 00:00:00-05:00,396.8811950683594
2022-03-31 00:00:00-04:00,411.53436279296875
2022-04-30 00:00:00-04:00,375.60626220703125
2022-05-31 00:00:00-04:00,376.2458801269531
2022-06-30 00:00:00-04:00,345.12115478515625
2022-07-31 00:00:00-04:00,376.9052429199219
2022-08-31 00:00:00-04:00,361.4872741699219
2022-09-30 00:00:00-04:00,328.1547546386719
2022-10-31 00:00:00-04:00,354.6736755371094
2022-11-30 00:00:00-05:00,374.4488525390625
2022-12-31 00:00:00-05:00,352.81854248046875
2023-01-31 00:00:00-05:00,374.9338073730469
2023-02-28 00:00:00-05:00,365.7489929199219
2023-03-31 00:00:00-04:00,379.1300048828125
2023-04-30 00:00:00-04:00,385.010009765625
2023-05-31 00:00:00-04:00,386.6300048828125
2023-06-30 00:00:00-04:00,410.6300048828125
2023-07-31 00:00:00-04:00,423.7799987792969
2023-08-31 00:00:00-04:00,416.989990234375
2023-09-30 00:00:00-04:00,395.6700134277344
2023-10-31 00:00:00-04:00,387.29998779296875
2023-11-30 00:00:00-05:00,422.6199951171875
2023-12-31 00:00:00-05:00,440.05999755859375
2024-01-31 00:00:00-05:00,441.5400085449219
