Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
422.04620361328125,422.04620361328125,422.04620361328125,422.04620361328125,0,0.0,0.0,0.0
422.3993835449219,422.3993835449219,422.3993835449219,422.3993835449219,0,0.0,0.0,0.0
414.6291198730469,414.6291198730469,414.6291198730469,414.6291198730469,0,0.0,0.0,0.0
410.6164855957031,410.6164855957031,410.6164855957031,410.6164855957031,0,0.0,0.0,0.0
406.1230773925781,406.1230773925781,406.1230773925781,406.1230773925781,0,0.0,0.0,0.0
398.4411315917969,398.4411315917969,398.4411315917969,398.4411315917969,0,0.0,0.0,0.0
399.5399475097656,399.5399475097656,399.5399475097656,399.5399475097656,0,0.0,0.0,0.0
394.6737365722656,394.6737365722656,394.6737365722656,394.6737365722656,0,0.0,0.0,0.0
394.0850524902344,394.0850524902344,394.0850524902344,394.0850524902344,0,0.0,0.0,0.0
391.9855651855469,391.9855651855469,391.9855651855469,391.9855651855469,0,0.0,0.0,0.0
401.5805969238281,401.5805969238281,401.5805969238281,401.5805969238281,0,0.0,0.0,0.0
409.1644287109375,409.1644287109375,409.1644287109375,409.1644287109375,0,0.0,0.0,0.0
411.9703674316406,411.9703674316406,411.9703674316406,411.9703674316406,0,0.0,0.0,0.0
415.8554992675781,415.8554992675781,415.8554992675781,415.8554992675781,0,0.0,0.0,0.0
405.7306213378906,405.7306213378906,405.7306213378906,405.7306213378906,0,0.0,0.0,0.0
407.8890075683594,407.8890075683594,407.8890075683594,407.8890075683594,0,0.0,0.0,0.0
406.3879699707031,406.3879699707031,406.3879699707031,406.3879699707031,0,0.0,0.0,0.0
409.80218505859375,409.80218505859375,409.80218505859375,409.80218505859375,0,0.0,0.0,0.0
415.796630859375,415.796630859375,415.796630859375,415.796630859375,0,0.0,0.0,0.0
408.32073974609375,408.32073974609375,408.32073974609375,408.32073974609375,0,0.0,0.0,0.0
400.5897216796875,400.5897216796875,400.5897216796875,400.5897216796875,0,0.0,0.0,0.0
399.0788269042969,399.0788269042969,399.0788269042969,399.0788269042969,0,0.0,0.0,0.0
405.4167175292969,405.4167175292969,405.4167175292969,405.4167175292969,0,0.0,0.0,0.0
405.8287658691406,405.8287658691406,405.8287658691406,405.8287658691406,0,0.0,0.0,0.0
397.283447265625,397.283447265625,397.283447265625,397.283447265625,0,0.0,0.0,0.0
394.4873352050781,394.4873352050781,394.4873352050781,394.4873352050781,0,0.0,0.0,0.0
390.4942932128906,390.4942932128906,390.4942932128906,390.4942932128906,0,0.0,0.0,0.0
383.3028564453125,383.3028564453125,383.3028564453125,383.3028564453125,0,0.0,0.0,0.0
389.0619201660156,389.0619201660156,389.0619201660156,389.0619201660156,0,0.0,0.0,0.0
397.813232421875,397.813232421875,397.813232421875,397.813232421875,0,0.0,0.0,0.0
396.8811950683594,396.8811950683594,396.8811950683594,396.8811950683594,0,0.0,0.0,0.0
390.74932861328125,390.74932861328125,390.74932861328125,390.74932861328125,0,0.0,0.0,0.0
398.03887939453125,398.03887939453125,398.03887939453125,398.03887939453125,0,0.0,0.0,0.0
395.9981994628906,395.9981994628906,395.9981994628906,395.9981994628906,0,0.0,0.0,0.0
392.87835693359375,392.87835693359375,392.87835693359375,392.87835693359375,0,0.0,0.0,0.0
381.28179931640625,381.28179931640625,381.28179931640625,381.28179931640625,0,0.0,0.0,0.0
378.52496337890625,378.52496337890625,378.52496337890625,378.52496337890625,0,0.0,0.0,0.0
388.3162536621094,388.3162536621094,388.3162536621094,388.3162536621094,0,0.0,0.0,0.0
386.6778259277344,386.6778259277344,386.6778259277344,386.6778259277344,0,0.0,0.0,0.0
381.68408203125,381.68408203125,381.68408203125,381.68408203125,0,0.0,0.0,0.0
378.9272155761719,378.9272155761719,378.9272155761719,378.9272155761719,0,0.0,0.0,0.0
387.0506286621094,387.0506286621094,387.0506286621094,387.0506286621094,0,0.0,0.0,0.0
395.7234802246094,395.7234802246094,395.7234802246094,395.7234802246094,0,0.0,0.0,0.0
400.6289367675781,400.6289367675781,400.6289367675781,400.6289367675781,0,0.0,0.0,0.0
405.2989501953125,405.2989501953125,405.2989501953125,405.2989501953125,0,0.0,0.0,0.0
405.1419982910156,405.1419982910156,405.1419982910156,405.1419982910156,0,0.0,0.0,0.0
409.72369384765625,409.72369384765625,409.72369384765625,409.72369384765625,0,0.0,0.0,0.0
404.69512939453125,404.69512939453125,404.69512939453125,404.69512939453125,0,1.26,0.0,0.0
410.5404357910156,410.5404357910156,410.5404357910156,410.5404357910156,0,0.0,0.0,0.0
412.6168212890625,412.6168212890625,412.6168212890625,412.6168212890625,0,0.0,0.0,0.0
415.5591735839844,415.5591735839844,415.5591735839844,415.5591735839844,0,0.0,0.0,0.0
420.6565856933594,420.6565856933594,420.6565856933594,420.6565856933594,0,0.0,0.0,0.0
418.048828125,418.048828125,418.048828125,418.048828125,0,0.0,0.0,0.0
411.5343933105469,411.5343933105469,411.5343933105469,411.5343933105469,0,0.0,0.0,0.0
412.93170166015625,412.93170166015625,412.93170166015625,412.93170166015625,0,0.0,0.0,0.0
416.27752685546875,416.27752685546875,416.27752685546875,416.27752685546875,0,0.0,0.0,0.0
411.1111755371094,411.1111755371094,411.1111755371094,411.1111755371094,0,0.0,0.0,0.0
407.1257629394531,407.1257629394531,407.1257629394531,407.1257629394531,0,0.0,0.0,0.0
408.9068908691406,408.9068908691406,408.9068908691406,408.9068908691406,0,0.0,0.0,0.0
407.8244323730469,407.8244323730469,407.8244323730469,407.8244323730469,0,0.0,0.0,0.0
